index	name	color
197	ctx-lh-inferiorparietal_1	#4cd526
198	ctx-lh-inferiorparietal_2	#e47b73
199	ctx-lh-inferiorparietal_3	#5bc8da
200	ctx-lh-inferiorparietal_4	#eb51a4
201	ctx-lh-inferiorparietal_5	#71ad91
202	ctx-lh-inferiorparietal_6	#b50f70
203	ctx-lh-precuneus_1	#00bb45
204	ctx-lh-precuneus_2	#8cf245
205	ctx-lh-precuneus_3	#042523
206	ctx-lh-precuneus_4	#3021c6
207	ctx-lh-precuneus_5	#e5a175
208	ctx-lh-cuneus_1	#1d08ef
209	ctx-lh-cuneus_2	#a359d3
210	ctx-lh-pericalcarine_1	#a555d0
211	ctx-lh-pericalcarine_2	#92c462
212	ctx-lh-lateraloccipital_1	#9fce7a
213	ctx-lh-lateraloccipital_2	#d02448
214	ctx-lh-lateraloccipital_3	#899e88
215	ctx-lh-lateraloccipital_4	#498e16
216	ctx-lh-lateraloccipital_5	#d7a858
217	ctx-lh-lingual_1	#89d462
218	ctx-lh-lingual_2	#fb6d35
219	ctx-lh-lingual_3	#c02ae9
220	ctx-lh-fusiform_1	#b4fc99
221	ctx-lh-fusiform_2	#d2d6a2
222	ctx-lh-fusiform_3	#fbb987
223	ctx-lh-fusiform_4	#19c3bf
224	ctx-lh-parahippocampal_1	#42e029
225	ctx-lh-entorhinal_1	#04ef19
226	ctx-lh-temporalpole_1	#96e6c4
227	ctx-lh-inferiortemporal_1	#b8572c
228	ctx-lh-inferiortemporal_2	#f385aa
229	ctx-lh-inferiortemporal_3	#942c04
230	ctx-lh-inferiortemporal_4	#038b38
231	ctx-lh-middletemporal_1	#c57b57
232	ctx-lh-middletemporal_2	#79ab42
233	ctx-lh-middletemporal_3	#e83728
234	ctx-lh-middletemporal_4	#4db425
235	ctx-lh-bankssts_1	#c9202f
236	ctx-lh-superiortemporal_1	#76dfc4
237	ctx-lh-superiortemporal_2	#775066
238	ctx-lh-superiortemporal_3	#b03f8f
239	ctx-lh-superiortemporal_4	#f8f7f0
240	ctx-lh-superiortemporal_5	#3c1015
241	ctx-lh-transversetemporal_1	#14ab6c
242	ctx-lh-insula_1	#d5f2fa
243	ctx-lh-insula_2	#4e9317
244	ctx-lh-insula_3	#00ef6c
245	thal-lh-pulvinar	#ff0000
246	thal-lh-ventral_anterior	#00ff00
247	thal-lh-mediodorsal	#ffff00
248	thal-lh-lateral_posterior_ventral_posterior_group	#ff7b00
249	thal-lh-medial_pulvinar_centrolateral	#00ffff
250	thal-lh-ventrolateral	#ff00ff
251	thal-lh-ventral_posterior_ventrolateral	#0000ff
252	subc-lh-caudate	#7abadc
253	subc-lh-putamen	#ec0db0
254	subc-lh-pallidum	#0c30ff
255	subc-lh-accumbens_area	#ffa500
256	subc-lh-amygdala	#67ffff
257	subc-lh-hippocampus	#dcd814
